name,latitude,longitude,show
Acalanes Ridge,37.9,-122.08,0
Acampo,38.17,-121.28,0
Acton,34.5,-118.19,0
Adelanto,34.59,-117.44,0
Adin,41.2,-120.95,0
Agoura Hills,34.15,-118.76,0
Agua Dulce,34.5,-118.32,0
Aguanga,33.45,-116.86,0
Ahwahnee,37.37,-119.72,0
Airport,37.63,-120.98,0
Alameda,37.76,-122.27,3
Alamo,37.85,-122.01,0
Albany,37.88,-122.33,0
Albion,39.23,-123.76,0
Alderpoint,40.16,-123.62,0
Alhambra,34.08,-118.14,0
Alhambra Valley,37.97,-122.14,0
Aliso Viejo,33.58,-117.73,0
Alleghany,39.47,-120.84,0
Allendale,38.44,-121.98,0
Allensworth,35.85,-119.39,0
Almanor,40.21,-121.18,0
Alondra Park,33.89,-118.33,0
Alpaugh,35.89,-119.49,0
Alpine,32.84,-116.76,0
Alpine Village,38.79,-119.8,0
Alta,39.21,-120.8,0
Alta Sierra,39.12,-121.05,0
Altadena,34.19,-118.14,0
Alto,37.91,-122.52,0
Alturas,41.49,-120.55,0
Alum Rock,37.37,-121.83,0
Amador City,38.42,-120.82,0
American Canyon,38.18,-122.26,0
Amesti,36.96,-121.78,0
Anaheim,33.84,-117.86,0
Anchor Bay,38.81,-123.57,0
Anderson,40.45,-122.3,0
Angels,38.07,-120.55,0
Angwin,38.58,-122.45,0
Antelope,38.72,-121.36,0
Antioch,37.98,-121.8,0
Anza,33.57,-116.7,0
Apple Valley town,34.53,-117.21,0
Aptos,36.99,-121.89,0
Aptos Hills-Larkin Valley,36.96,-121.83,0
Arbuckle,39.01,-122.06,0
Arcadia,34.13,-118.04,0
Arcata,40.86,-124.08,0
Arden-Arcade,38.6,-121.38,0
Armona,36.32,-119.71,0
Arnold,38.24,-120.35,0
Aromas,36.88,-121.64,0
Arroyo Grande,35.12,-120.58,0
Artesia,33.87,-118.08,0
Artois,39.63,-122.19,0
Arvin,35.19,-118.83,0
Ashland,37.69,-122.12,0
Aspen Springs,37.55,-118.71,0
Atascadero,35.48,-120.69,0
Atherton town,37.45,-122.2,0
Atwater,37.35,-120.6,0
Auberry,37.08,-119.49,0
Auburn,38.89,-121.08,0
Auburn Lake Trails,38.89,-120.98,0
August,37.98,-121.26,0
Avalon,33.33,-118.33,0
Avenal,36.03,-120.12,0
Avery,38.19,-120.38,0
Avilla Beach,35.2,-120.72,0
Avocado Heights,34.04,-118,0
Azusa,34.14,-117.91,0
Baker,35.28,-116.07,0
Bakersfield,35.35,-119.03,0
Baldwin Park,34.08,-117.97,0
Ballard,34.63,-120.12,0
Ballico,37.45,-120.7,0
Bangor,39.38,-121.41,0
Banning,33.95,-116.9,0
Barstow,34.87,-117.05,0
Bass Lake,37.33,-119.57,0
Bay Point,38.03,-121.96,0
Bayview,40.77,-124.18,0
Bayview,38.01,-122.32,0
Beale AFB,39.11,-121.35,0
Bear Creek,37.3,-120.42,0
Bear Valley,37.57,-120.12,0
Bear Valley,38.47,-120.05,0
Bear Valley Springs,35.18,-118.65,0
Beaumont,33.91,-116.98,0
Beckwourth,39.85,-120.41,0
Belden,40,-121.25,0
Bell Canyon,34.21,-118.69,0
Bell,33.98,-118.18,0
Bell Gardens,33.97,-118.16,0
Bella Vista,40.65,-122.24,0
Bellflower,33.89,-118.13,0
Belmont,37.52,-122.3,0
Belvedere,37.87,-122.47,0
Ben Lomond,37.08,-122.09,0
Benbow,40.06,-123.77,0
Bend,40.26,-122.21,0
Benicia,38.07,-122.15,0
Benton,37.82,-118.48,0
Berkeley,37.87,-122.3,2
Bermuda Dunes,33.74,-116.29,0
Berry Creek,39.63,-121.41,0
Bertsch-Oceanview,41.75,-124.16,0
Bethel Island,38.03,-121.64,0
Beverly Hills,34.08,-118.4,0
Bieber,41.13,-121.13,0
Big Bear City,34.25,-116.79,0
Big Bear Lake,34.24,-116.9,0
Big Bend,41.01,-121.92,0
Big Creek,37.2,-119.25,0
Big Lagoon,41.16,-124.13,0
Big Pine,37.17,-118.3,0
Big River,34.14,-114.36,0
Biggs,39.41,-121.71,0
Biola,36.8,-120.02,0
Bishop,37.37,-118.4,0
Black Point-Green Point,38.11,-122.52,0
Blackhawk,37.82,-121.91,0
Blacklake,35.05,-120.54,0
Blairsden,39.78,-120.61,0
Bloomfield,38.32,-122.85,0
Bloomington,34.06,-117.4,0
Blue Lake,40.88,-123.99,0
Blythe,33.62,-114.62,0
Bodega Bay,38.32,-123.03,0
Bodega,38.35,-122.97,0
Bodfish,35.58,-118.48,0
Bolinas,37.92,-122.71,0
Bombay Beach,33.35,-115.73,0
Bonadelle Ranchos-Madera Ranchos,36.96,-119.89,0
Bonita,32.67,-117.03,0
Bonny Doon,37.04,-122.14,0
Bonsall,33.28,-117.19,0
Boonville,39.01,-123.37,0
Bootjack,37.47,-119.89,0
Boron,35.02,-117.67,0
Boronda,36.69,-121.67,0
Borrego Springs,33.24,-116.36,0
Bostonia,32.82,-116.95,0
Boulder Creek,37.13,-122.13,3
Boulevard,32.66,-116.29,0
Bowles,36.61,-119.75,0
Boyes Hot Springs,38.31,-122.49,0
Bradbury,34.15,-117.97,0
Bradley,35.86,-120.8,0
Brawley,32.98,-115.53,0
Brea,33.93,-117.87,0
Brentwood,37.94,-121.72,0
Bret Harte,37.6,-121,0
Bridgeport,38.26,-119.21,0
Brisbane,37.69,-122.34,0
Broadmoor,37.69,-122.48,0
Brookdale,37.11,-122.11,3
Brooktrails,39.44,-123.4,0
Buck Meadows,37.81,-120.07,0
Buckhorn,38.45,-120.54,0
Bucks Lake,39.88,-121.19,0
Buellton,34.62,-120.19,0
Buena Park,33.86,-118,0
Buena Vista,38.3,-120.92,0
Burbank,37.32,-121.93,0
Burbank,34.19,-118.32,0
Burlingame,37.59,-122.36,0
Burney,40.88,-121.67,0
Burnt Ranch,40.81,-123.51,0
Butte Creek Canyon,39.75,-121.7,0
Butte Meadows,40.09,-121.54,0
Butte Valley,39.66,-121.64,0
Buttonwillow,35.41,-119.44,0
Byron,37.88,-121.64,0
Bystrom,37.62,-120.98,0
C-Road,39.76,-120.58,0
Cabazon,33.91,-116.78,0
Calabasas,34.14,-118.67,0
Calexico,32.68,-115.49,0
California City,35.16,-117.87,0
California Hot Springs,35.89,-118.66,0
California Pines,41.41,-120.66,0
Calimesa,33.99,-117.05,0
Calipatria,33.15,-115.51,0
Calistoga,38.58,-122.58,0
Callender,35.05,-120.58,0
Calpella,39.23,-123.2,0
Calpine,39.66,-120.44,0
Calwa,36.71,-119.76,0
Camanche North Shore,38.24,-120.95,0
Camanche Village,38.27,-120.99,0
Camarillo,34.22,-119.03,0
Cambria,35.55,-121.08,0
Cambrian Park,37.26,-121.93,0
Cameron Park,38.67,-120.99,0
Camino,38.74,-120.68,0
Camino Tassajara,37.79,-121.88,0
Camp Nelson,36.14,-118.61,0
Camp Pendleton North,33.31,-117.32,0
Camp Pendleton South,33.23,-117.38,0
Campbell,37.28,-121.95,3
Campo,32.64,-116.47,0
Camptonville,39.45,-121.05,0
Canby,41.45,-120.88,0
Cantua Creek,36.5,-120.32,0
Canyon Lake,33.69,-117.26,0
Canyondam,40.17,-121.08,0
Capitola,36.98,-121.95,0
Caribou,40.08,-121.16,0
Carlsbad,33.12,-117.28,0
Carmel Valley Village,36.48,-121.72,0
Carmel-by-the-Sea,36.55,-121.92,0
Carmet,38.37,-123.07,0
Carmichael,38.63,-121.32,0
Carnelian Bay,39.23,-120.08,0
Carpinteria,34.38,-119.51,0
Carrick,41.45,-122.36,0
Carson,33.84,-118.26,0
Cartago,36.31,-118.03,0
Caruthers,36.54,-119.85,0
Casa Conejo,34.18,-118.94,0
Casa de Oro-Mount Helix,32.76,-116.97,0
Casmalia,34.84,-120.53,0
Caspar,39.36,-123.8,0
Cassel,40.92,-121.55,0
Castaic,34.48,-118.63,0
Castle Hill,37.87,-122.06,0
Castro Valley,37.71,-122.06,0
Castroville,36.77,-121.75,0
Cathedral City,33.84,-116.47,0
Catheys Valley,37.44,-120.09,0
Cayucos,35.44,-120.89,0
Cazadero,38.53,-123.1,0
Cedar Ridge,38.07,-120.27,0
Cedar Slope,36.14,-118.58,0
Cedarville,41.53,-120.17,0
Centerville,36.74,-119.5,0
Ceres,37.6,-120.95,0
Cerritos,33.87,-118.07,0
Chalfant,37.51,-118.38,0
Challenge-Brownsville,39.46,-121.26,0
Channel Islands Beach,34.16,-119.22,0
Charter Oak,34.1,-117.86,0
Cherokee,39.65,-121.53,0
Cherokee Strip,35.47,-119.26,0
Cherry Valley,33.98,-116.97,0
Cherryland,37.68,-122.1,0
Chester,40.3,-121.23,0
Chico,39.76,-121.82,0
Chilcoot-Vinton,39.81,-120.14,0
China Lake Acres,35.64,-117.77,0
Chinese Camp,37.87,-120.44,0
Chino,33.98,-117.67,0
Chino Hills,33.95,-117.73,0
Chowchilla,37.11,-120.23,0
Chualar,36.57,-121.51,0
Chula Vista,32.63,-117.01,0
Citrus,34.12,-117.89,0
Citrus Heights,38.69,-121.29,0
Claremont,34.13,-117.72,0
Clarksburg,38.42,-121.54,0
Clay,38.31,-121.16,0
Clayton,37.94,-121.93,0
Clear Creek,40.3,-121.05,0
Clearlake,38.96,-122.63,0
Clearlake Oaks,39.02,-122.66,0
Clearlake Riviera,38.95,-122.72,0
Cleone,39.49,-123.78,0
Clio,39.75,-120.57,0
Clipper Mills,39.53,-121.17,0
Cloverdale,38.8,-123.02,0
Clovis,36.83,-119.69,0
Clyde,38.03,-122.03,0
Coachella,33.69,-116.15,0
Coalinga,36.14,-120.33,0
Coarsegold,37.25,-119.7,0
Cobb,38.84,-122.72,0
Coffee Creek,41.08,-122.71,0
Cohasset,39.9,-121.74,0
Cold Springs,38.75,-120.88,0
Cold Springs,38.16,-120.05,0
Coleville,38.58,-119.52,0
Colfax,39.09,-120.95,0
College City,39.01,-122.01,0
Collierville,38.21,-121.27,0
Colma town,37.68,-122.45,0
Coloma,38.8,-120.89,0
Colton,34.05,-117.33,0
Columbia,38.03,-120.41,0
Colusa,39.2,-122.01,0
Commerce,34,-118.15,0
Comptche,39.27,-123.59,0
Compton,33.89,-118.23,0
Concord,37.97,-122,0
Concow,39.77,-121.52,0
Contra Costa Centre,37.93,-122.05,0
Copperopolis,37.94,-120.63,0
Corcoran,36.08,-119.56,0
Corning,39.93,-122.18,0
Corona,33.86,-117.56,0
Coronado,32.64,-117.17,0
Coronita,33.88,-117.61,0
Corralitos,36.99,-121.79,0
Corte Madera town,37.93,-122.51,0
Costa Mesa,33.67,-117.91,0
Cotati,38.33,-122.71,0
Coto de Caza,33.6,-117.59,0
Cottonwood,40.39,-122.29,0
Coultervillle,37.71,-120.2,0
Country Club,37.97,-121.34,0
Courtland,38.33,-121.56,0
Covelo,39.8,-123.25,0
Covina,34.09,-117.88,0
Cowan,37.56,-120.99,0
Crescent City,41.77,-124.19,0
Crescent Mills,40.1,-120.92,0
Cressey,37.42,-120.66,0
Crest,32.8,-116.87,0
Crestline,34.25,-117.29,0
Crestmore Heights,34.03,-117.4,0
Creston,35.52,-120.52,0
Crockett,38.05,-122.22,0
Cromberg,39.87,-120.69,0
Crowley Lake,37.57,-118.75,0
Crows Landing,37.39,-121.08,0
Cudahy,33.96,-118.18,0
Culver City,34.01,-118.4,0
Cupertino,37.32,-122.05,3
Cutler,36.53,-119.29,0
Cutten,40.77,-124.14,0
Cuyama,34.93,-119.61,0
Cypress,33.82,-118.04,0
Daly City,37.69,-122.47,2
Dana Point,33.44,-117.71,0
Danville town,37.81,-121.97,0
Daphnedale Park,41.51,-120.55,0
Darwin,36.27,-117.59,0
Davenport,37.02,-122.19,0
Davis,38.56,-121.74,0
Day Valley,37.03,-121.86,0
Deer Park,38.54,-122.47,0
Del Aire,33.92,-118.37,0
Del Mar,32.96,-117.26,0
Del Monte Forest,36.58,-121.95,0
Del Rey,36.66,-119.6,0
Del Rey Oaks,36.59,-121.84,0
Del Rio,37.74,-121.01,0
Delano,35.77,-119.26,0
Delft Colony,36.51,-119.45,0
Delhi,37.43,-120.78,0
Delleker,39.81,-120.5,0
Denair,37.53,-120.8,0
Derby Acres,35.24,-119.6,0
Descanso,32.87,-116.63,0
Desert Center,33.74,-115.37,0
Desert Edge,33.92,-116.44,0
Desert Hot Springs,33.97,-116.55,0
Desert Palms,33.78,-116.29,0
Desert Shores,33.4,-116.04,0
Desert View Highlands,34.59,-118.15,0
Diablo,37.84,-121.96,0
Diablo Grande,37.4,-121.27,0
Diamond Bar,34,-117.82,0
Diamond Springs,38.69,-120.84,0
Dillon Beach,38.24,-122.96,0
Dinuba,36.55,-119.4,0
Discovery Bay,37.91,-121.6,0
Dixon,38.45,-121.82,0
Dixon Lane-Meadow Creek,37.39,-118.42,0
Dobbins,39.37,-121.21,0
Dogtown,38.21,-121.16,0
Dollar Point,39.19,-120.11,0
Dorrington,38.29,-120.27,0
Dorris,41.96,-121.92,0
Dos Palos,36.99,-120.63,0
Dos Palos Y,37.05,-120.64,0
Douglas City,40.66,-122.93,0
Downey,33.94,-118.13,0
Downieville,39.57,-120.82,0
Doyle,40.03,-120.12,0
Drytown,38.44,-120.86,0
Duarte,34.16,-117.95,0
Dublin,37.72,-121.9,0
Ducor,35.89,-119.05,0
Dunnigan,38.89,-121.97,0
Dunsmuir,41.23,-122.27,0
Durham,39.62,-121.79,0
Dustin Acres,35.22,-119.37,0
Dutch Flat,39.21,-120.83,0
Eagleville,41.32,-120.11,0
Earlimart,35.88,-119.27,0
East Foothills,37.38,-121.82,0
East Hemet,33.73,-116.94,0
East La Mirada,33.92,-117.99,0
East Los Angeles,34.03,-118.17,0
East Nicolaus,38.91,-121.54,0
East Oakdale,37.78,-120.8,0
East Orosi,36.55,-119.26,0
East Palo Alto,37.47,-122.13,0
East Pasadena,34.14,-118.08,0
East Porterville,36.06,-118.97,0
East Quincy,39.92,-120.92,0
East Rancho Dominguez,33.89,-118.2,0
East Richmond Heights,37.95,-122.31,0
East San Gabriel,34.12,-118.08,0
East Shore,40.25,-121.08,0
East Sonora,37.98,-120.34,0
East Tulare Villa,36.2,-119.28,0
Easton,36.65,-119.79,0
Eastvale,33.96,-117.58,0
Edgewood,41.46,-122.43,0
Edmundson Acres,35.23,-118.82,0
Edna,35.21,-120.61,0
Edwards AFB,34.9,-117.93,0
El Cajon,32.8,-116.96,0
El Centro,32.79,-115.56,0
# El Cerrito,33.84,-117.52,0
El Cerrito,37.92,-122.3,3
El Dorado Hills,38.67,-121.05,0
El Granada,37.51,-122.47,3
El Monte,34.07,-118.03,0
El Nido,37.13,-120.5,0
El Paso de Robles (Paso Robles),35.64,-120.66,0
El Portal,37.67,-119.79,0
El Rancho,36.22,-119.07,0
El Rio,34.25,-119.16,0
El Segundo,33.92,-118.4,0
El Sobrante,33.87,-117.46,0
El Sobrante,37.97,-122.3,0
El Verano,38.3,-122.49,0
Eldridge,38.33,-122.51,0
Elizabeth Lake,34.66,-118.38,0
Elk Creek,39.6,-122.54,0
Elk Grove,38.42,-121.38,0
Elkhorn,36.81,-121.72,0
Elmira,38.35,-121.91,0
Elverta,38.72,-121.45,0
Emerald Lake Hills,37.47,-122.27,0
Emeryville,37.84,-122.3,0
Empire,37.64,-120.9,0
Encinitas,33.05,-117.26,0
Escalon,37.79,-121,0
Escondido,33.13,-117.07,0
Esparto,38.69,-122.02,0
Etna,41.46,-122.89,0
Eucalyptus Hills,32.89,-116.95,0
Eureka,40.79,-124.16,0
Exeter,36.29,-119.15,0
Fair Oaks,38.65,-121.25,0
Fairbanks Ranch,32.99,-117.19,0
Fairfax town,37.99,-122.6,0
Fairfield,38.26,-122.04,0
Fairmead,37.08,-120.2,0
Fairview,37.68,-122.05,0
Fall River Mills,41.01,-121.44,0
Fallbrook,33.37,-117.23,0
Farmersville,36.31,-119.21,0
Farmington,37.93,-121,0
Fellows,35.18,-119.55,0
Felton,37.04,-122.08,0
Ferndale,40.58,-124.26,0
Fetters Hot Springs-Agua Caliente,38.33,-122.49,0
Fiddletown,38.51,-120.76,0
Fieldbrook,40.97,-124.03,0
Fields Landing,40.72,-124.22,0
Fillmore,34.4,-118.92,0
Firebaugh,36.85,-120.45,0
Fish Camp,37.48,-119.64,0
Florence-Graham,33.97,-118.24,0
Florin,38.48,-121.4,0
Floriston,39.39,-120.02,0
Flournoy,39.93,-122.45,0
Folsom,38.68,-121.15,0
Fontana,34.1,-117.46,0
Foothill Farms,38.69,-121.35,0
Forbestown,39.53,-121.27,0
Ford City,35.16,-119.46,0
Forest Meadows,38.17,-120.41,0
Forest Ranch,39.9,-121.67,0
Foresthill,39.01,-120.83,0
Forestville,38.48,-122.89,0
Fort Bidwell,41.86,-120.16,0
Fort Bragg,39.44,-123.8,0
Fort Irwin,35.25,-116.68,0
Fort Jones,41.61,-122.84,0
Fort Washington,36.88,-119.76,0
Fortuna,40.59,-124.14,0
Foster City,37.58,-122.24,0
Fountain Valley,33.71,-117.95,0
Fowler,36.62,-119.67,0
Franklin,37.33,-120.53,0
Franklin,38.37,-121.46,0
Frazier Park,34.81,-118.95,0
Freedom,36.94,-121.8,0
Freeport,38.46,-121.5,0
Fremont,37.52,-122,3
French Camp,37.88,-121.28,0
French Gulch,40.72,-122.63,0
French Valley,33.6,-117.11,0
Fresno,36.78,-119.79,0
Friant,36.98,-119.71,0
Fruitdale,37.31,-121.94,0
Fruitridge Pocket,38.53,-121.46,0
Fuller Acres,35.3,-118.91,0
Fullerton,33.88,-117.93,0
Fulton,38.49,-122.77,0
Furnace Creek,36.43,-116.87,0
Galt,38.27,-121.3,0
Garberville,40.1,-123.79,0
Garden Acres,37.96,-121.23,0
Garden Farms,35.42,-120.61,0
Garden Grove,33.78,-117.96,0
Gardena,33.89,-118.31,0
Garey,34.89,-120.31,0
Garnet,33.92,-116.49,0
Gasquet,41.84,-123.97,0
Gazelle,41.51,-122.52,0
Georgetown,38.91,-120.84,0
Gerber,40.06,-122.15,0
Geyserville,38.72,-122.9,0
Gilroy,37,-121.58,0
Glen Avon,34.02,-117.49,0
Glen Ellen,38.36,-122.54,0
Glendale,34.18,-118.25,0
Glendora,34.14,-117.85,0
Gold Mountain,39.76,-120.52,0
Gold River,38.63,-121.25,0
Golden Hills,35.15,-118.5,0
Goleta,34.44,-119.86,0
Gonzales,36.51,-121.44,0
Good Hope,33.77,-117.28,0
Goodyears Bar,39.55,-120.89,0
Goshen,36.35,-119.42,0
Graeagle,39.76,-120.65,0
Grand Terrace,34.03,-117.31,0
Grangeville,36.34,-119.71,0
Granite Bay,38.76,-121.17,0
Granite Hills,32.8,-116.91,0
Graniteville,39.44,-120.74,0
Grass Valley,39.22,-121.06,0
Graton,38.44,-122.87,0
Grayson,37.58,-121.18,0
Greeley Hill,37.76,-120.13,0
Green Acres,33.73,-117.08,0
Green Valley,38.26,-122.16,0
Green Valley,34.62,-118.41,0
Greenacres,35.38,-119.12,0
Greenfield,35.27,-119.01,0
Greenfield,36.32,-121.25,0
Greenhorn,39.9,-120.76,0
Greenview,41.55,-122.92,0
Greenville,40.13,-120.95,0
Grenada,41.64,-122.53,0
Gridley,39.36,-121.7,0
Grimes,39.07,-121.9,0
Grizzly Flats,38.64,-120.54,0
Groveland,37.83,-120.24,0
Grover Beach,35.12,-120.62,0
Guadalupe,34.96,-120.57,0
Guerneville,38.51,-122.99,0
Guinda,38.83,-122.2,0
Gustine,37.25,-120.99,0
Hacienda Heights,34,-117.97,0
Half Moon Bay,37.47,-122.44,3
Hamilton Branch,40.28,-121.1,0
Hamilton City,39.74,-122.01,0
Hanford,36.33,-119.65,0
Happy Camp,41.81,-123.39,0
Harbison Canyon,32.83,-116.84,0
Hardwick,36.4,-119.72,0
Hartland,36.65,-118.96,0
Hartley,38.42,-121.95,0
Hasley Canyon,34.48,-118.67,0
Hat Creek,40.81,-121.48,0
Hawaiian Gardens,33.83,-118.07,0
Hawthorne,33.91,-118.35,0
Hayfork,40.56,-123.13,0
Hayward,37.63,-122.11,3
Healdsburg,38.62,-122.87,0
Heber,32.73,-115.52,0
Hemet,33.74,-116.99,0
Herald,38.29,-121.23,0
Hercules,38.03,-122.29,0
Herlong,40.14,-120.14,0
Hermosa Beach,33.87,-118.4,0
Hesperia,34.4,-117.31,0
Hickman,37.63,-120.75,0
Hidden Hills,34.16,-118.66,0
Hidden Meadows,33.22,-117.12,0
Hidden Valley Lake,38.8,-122.55,0
Highgrove,34.01,-117.31,0
Highland,34.11,-117.17,0
Highlands-Baywood Park,37.52,-122.34,0
Hillsborough town,37.56,-122.36,0
Hilmar-Irwin,37.4,-120.85,0
Hiouchi,41.79,-124.07,0
Hollister,36.86,-121.4,0
Holtville,32.81,-115.38,0
Home Garden,36.3,-119.64,0
Home Gardens,33.88,-117.51,0
Homeland,33.75,-117.11,0
Homestead Valley,34.27,-116.41,0
Homewood Canyon,35.89,-117.39,0
Honcut,39.33,-121.54,0
Hood,38.37,-121.52,0
Hopland,38.97,-123.12,0
Hornbrook,41.91,-122.56,0
Hornitos,37.5,-120.24,0
Hughson,37.6,-120.87,0
Humboldt Hill,40.72,-124.2,0
Huntington Beach,33.69,-118.01,0
Huntington Park,33.98,-118.22,0
Huron,36.2,-120.1,0
Hyampom,40.63,-123.47,0
Hydesville,40.56,-124.08,0
Idlewild,35.81,-118.67,0
Idyllwild-Pine Cove,33.74,-116.73,0
Imperial Beach,32.57,-117.12,0
Imperial,32.84,-115.57,0
Independence,36.83,-118.21,0
Indian Falls,40.06,-120.98,0
Indian Wells,33.7,-116.34,0
Indianola,40.81,-124.08,0
Indio,33.73,-116.24,0
Indio Hills,33.84,-116.25,0
Industry,34.02,-117.93,0
Inglewood,33.96,-118.34,0
Interlaken,36.95,-121.74,0
Inverness,38.08,-122.85,0
Inyokern,35.65,-117.82,0
Ione,38.36,-120.94,0
Iron Horse,39.78,-120.48,0
Irvine,33.68,-117.77,0
Irwindale,34.11,-117.96,0
Isla Vista,34.41,-119.86,0
Isleton,38.16,-121.61,0
Ivanhoe,36.39,-119.22,0
Jackson,38.35,-120.77,0
Jacumba,32.63,-116.18,0
Jamestown,37.96,-120.41,0
Jamul,32.72,-116.87,0
Janesville,40.28,-120.53,0
Jenner,38.45,-123.12,0
Johannesburg,35.37,-117.64,0
Johnstonville,40.38,-120.58,0
Johnsville,39.77,-120.71,0
Joshua Tree,34.12,-116.31,0
Julian,33.07,-116.59,0
Junction City,40.73,-123.06,0
June Lake,37.77,-119.1,0
Keddie,40.01,-120.95,0
Keeler,36.48,-117.87,0
Keene,35.23,-118.61,0
Kelly Ridge,39.53,-121.47,0
Kelseyville,38.97,-122.83,0
Kennedy,37.93,-121.25,0
Kennedy Meadows,36.01,-118.11,0
Kensington,37.91,-122.28,0
Kentfield,37.95,-122.55,0
Kenwood,38.42,-122.54,0
Kerman,36.73,-120.06,0
Kernville,35.75,-118.43,0
Keswick,40.61,-122.46,0
Kettleman City,36.01,-119.96,0
Keyes,37.56,-120.91,0
King City,36.22,-121.13,0
Kings Beach,39.25,-120.02,0
Kingsburg,36.52,-119.56,0
Kingvale,39.32,-120.44,0
Kirkwood,38.69,-120.06,0
Klamath,41.53,-124.01,0
Knights Landing,38.8,-121.72,0
Knightsen,37.96,-121.65,0
La Ca▒ada Flintridge,34.21,-118.2,0
La Crescenta-Montrose,34.23,-118.24,0
La Habra,33.93,-117.95,0
La Habra Heights,33.96,-117.95,0
La Honda,37.32,-122.27,3
La Mesa,32.77,-117.02,0
La Mirada,33.9,-118.01,0
La Palma,33.85,-118.04,0
La Porte,39.67,-120.99,0
La Presa,32.71,-117,0
La Puente,34.03,-117.95,0
La Quinta,33.65,-116.28,0
La Riviera,38.57,-121.35,0
La Selva Beach,36.93,-121.84,0
La Verne,34.12,-117.77,0
La Vina,36.88,-120.11,0
Ladera,37.4,-122.2,0
Ladera Heights,34,-118.37,0
Ladera Ranch,33.55,-117.64,0
Lafayette,37.89,-122.12,0
Laguna Beach,33.54,-117.76,0
Laguna Hills,33.59,-117.7,0
Laguna Niguel,33.53,-117.7,0
Laguna Woods,33.61,-117.73,0
Lagunitas-Forest Knolls,38.02,-122.69,0
Lake Almanor Country Club,40.26,-121.15,0
Lake Almanor Peninsula,40.28,-121.13,0
Lake Almanor West,40.23,-121.2,0
Lake Arrowhead,34.25,-117.19,0
Lake California,40.36,-122.21,0
Lake City,41.65,-120.23,0
Lake Davis,39.86,-120.46,0
Lake Don Pedro,37.65,-120.34,0
Lake Elsinore,33.68,-117.33,0
Lake Forest,33.66,-117.67,0
Lake Hughes,34.68,-118.46,0
Lake Isabella,35.64,-118.48,0
Lake Los Angeles,34.61,-117.83,0
Lake Mathews,33.82,-117.37,0
Lake Nacimiento,35.73,-120.87,0
Lake of the Pines,39.04,-121.06,0
Lake of the Woods,34.82,-119,0
Lake Riverside,33.52,-116.81,0
Lake San Marcos,33.12,-117.21,0
Lake Sherwood,34.13,-118.88,0
Lake Wildwood,39.24,-121.2,0
Lakehead,40.9,-122.39,0
Lakeland Village,33.65,-117.37,0
Lakeport,39.04,-122.92,0
Lakeside,32.86,-116.9,0
Lakeview,33.83,-117.12,0
Lakewood,33.85,-118.12,0
Lamont,35.27,-118.92,0
Lanare,36.44,-119.93,0
Lancaster,34.69,-118.18,0
Larkfield-Wikiup,38.51,-122.75,0
Larkspur,37.94,-122.53,3
Las Flores,33.58,-117.62,0
Las Flores,40.07,-122.16,0
Las Lomas,36.87,-121.73,0
Lathrop,37.82,-121.31,0
Laton,36.43,-119.69,0
Lawndale,33.89,-118.35,0
Laytonville,39.67,-123.49,0
Le Grand,37.23,-120.25,0
Lebec,34.84,-118.9,0
Lee Vining,37.95,-119.12,0
Leggett,39.86,-123.73,0
Lemon Cove,36.38,-119.03,0
Lemon Grove,32.73,-117.03,0
Lemon Hill,38.52,-121.46,0
Lemoore,36.3,-119.8,0
Lemoore Station,36.26,-119.9,0
Lennox,33.94,-118.36,0
Lenwood,34.89,-117.11,0
Leona Valley,34.61,-118.3,0
Lewiston,40.7,-122.82,0
Lexington Hills,37.16,-121.99,0
Likely,41.23,-120.5,0
Lincoln,38.87,-121.29,0
Lincoln Village,38.01,-121.33,0
Linda,39.12,-121.54,0
Lindcove,36.36,-119.07,0
Linden,38.02,-121.1,0
Lindsay,36.21,-119.09,0
Linnell Camp,36.31,-119.22,0
Litchfield,40.39,-120.38,0
Little Grass Valley,39.73,-120.96,0
Little River,39.27,-123.78,0
