name,latitude,longitude,show
Littlerock,34.52,-117.98,0
Live Oak,36.99,-121.98,0
Live Oak,39.27,-121.67,0
Livermore,37.69,-121.76,0
Livingston,37.39,-120.73,0
Lockeford,38.15,-121.16,0
Lockwood,35.94,-121.08,0
Lodi,38.12,-121.29,0
Lodoga,39.3,-122.51,0
Loleta,40.64,-124.22,0
Loma Linda,34.04,-117.25,0
Loma Mar,37.27,-122.3,0
Loma Rica,39.32,-121.4,0
Lomita,33.79,-118.32,0
Lompico,37.11,-122.05,0
Lompoc,34.66,-120.47,0
London,36.48,-119.44,0
Lone Pine,36.58,-118.08,0
Long Barn,38.1,-120.13,0
Long Beach,33.81,-118.16,0
Lookout,41.21,-121.15,0
Loomis town,38.81,-121.2,0
Los Alamitos,33.8,-118.06,0
Los Alamos,34.74,-120.28,0
Los Altos,37.37,-122.1,3
Los Altos Hills town,37.37,-122.14,0
Los Angeles,34.11,-118.41,0
Los Banos,37.06,-120.84,0
Los Berros,35.08,-120.55,0
Los Gatos town,37.23,-121.96,3
Los Molinos,40.03,-122.1,0
Los Olivos,34.66,-120.12,0
Los Osos,35.31,-120.82,0
Los Ranchos,35.21,-120.63,0
Lost Hills,35.63,-119.68,0
Lower Lake,38.91,-122.61,0
Loyalton,39.68,-120.24,0
Loyola,37.35,-122.1,0
Lucas Valley-Marinwood,38.04,-122.58,0
Lucerne,39.07,-122.78,0
Lucerne Valley,34.44,-116.9,0
Lynwood,33.92,-118.2,0
Lytle Creek,34.25,-117.5,0
Mabie,39.78,-120.54,0
Macdoel,41.83,-122.01,0
Mad River,40.43,-123.49,0
Madera Acres,37.01,-120.08,0
Madera,36.96,-120.08,0
Magalia,39.82,-121.61,0
Malaga,36.68,-119.73,0
Malibu,34.04,-118.78,0
Mammoth Lakes town,37.63,-118.99,0
Manchester,38.97,-123.69,0
Manhattan Beach,33.89,-118.4,0
Manila,40.85,-124.16,0
Manteca,37.8,-121.23,0
Manton,40.42,-121.85,0
March ARB,33.89,-117.28,0
Maricopa,35.05,-119.41,0
Marin City,37.87,-122.51,0
Marina,36.68,-121.79,0
Marina del Rey,33.98,-118.45,0
Mariposa,37.49,-119.98,0
Markleeville,38.68,-119.82,0
Martell,38.36,-120.8,0
Martinez,38,-122.12,0
Marysville,39.15,-121.58,0
Matheny,36.17,-119.35,0
Mather,38.55,-121.28,0
Maxwell,39.28,-122.19,0
Mayfair,36.77,-119.76,0
Mayflower Village,34.12,-118.01,0
Maywood,33.99,-118.19,0
McArthur,41.04,-121.41,0
McClellan Park,38.66,-121.4,0
McClenney Tract,35.82,-118.65,0
McCloud,41.25,-122.14,0
McFarland,35.68,-119.24,0
McGee Creek,37.57,-118.79,0
McKinleyville,40.95,-124.09,0
McKittrick,35.3,-119.62,0
McSwain,37.31,-120.59,0
Mead Valley,33.83,-117.29,0
Meadow Valley,39.93,-121.08,0
Meadow Vista,39,-121.03,0
Meadowbrook,33.72,-117.28,0
Mecca,33.58,-116.06,0
Meiners Oaks,34.45,-119.27,0
Mendocino,39.31,-123.83,0
Mendota,36.76,-120.38,0
Menifee,33.69,-117.18,0
Menlo Park,37.48,-122.15,0
Mentone,34.06,-117.11,0
Merced,37.31,-120.48,0
Meridian,39.14,-121.91,0
Mesa,37.42,-118.54,0
Mesa Verde,33.6,-114.73,0
Mesa Vista,38.81,-119.8,0
Mettler,35.06,-118.97,0
Mexican Colony,35.47,-119.27,0
Mi-Wuk Village,38.06,-120.18,0
Middletown,38.75,-122.62,0
Midpines,37.55,-119.95,0
Midway City,33.74,-117.99,0
Milford,40.16,-120.37,0
Mill Valley,37.91,-122.54,3
Millbrae,37.6,-122.4,0
Millville,40.56,-122.17,0
Milpitas,37.43,-121.89,3
Mineral,40.38,-121.57,0
Minkler,36.73,-119.46,0
Mira Loma,33.98,-117.52,0
Mira Monte,34.43,-119.29,0
Miranda,40.23,-123.82,0
Mission Canyon,34.45,-119.71,0
Mission Hills,34.69,-120.44,0
Mission Viejo,33.61,-117.66,0
Modesto,37.66,-120.99,0
Mohawk Vista,39.8,-120.59,0
Mojave,35.01,-118.19,0
Mokelumne Hill,38.31,-120.71,0
Monmouth,36.57,-119.74,0
Mono City,38.04,-119.15,0
Mono Vista,38.01,-120.27,0
Monrovia,34.17,-117.99,0
Monson,36.49,-119.34,0
Montague,41.73,-122.53,0
Montalvin Manor,38,-122.33,0
Montara,37.55,-122.49,0
Montclair,34.07,-117.7,0
Monte Rio,38.47,-123.01,0
Monte Sereno,37.24,-121.99,0
Montebello,34.02,-118.11,0
Montecito,34.44,-119.63,0
Monterey,36.6,-121.88,0
Monterey Park,34.05,-118.13,0
Monterey Park Tract,37.53,-121.01,0
Montgomery Creek,40.84,-121.92,0
Monument Hills,38.66,-121.88,0
Moorpark,34.29,-118.88,0
Morada,38.04,-121.25,0
Moraga town,37.84,-122.12,0
Moreno Valley,33.92,-117.2,0
Morgan Hill,37.13,-121.64,0
Morongo Valley,34.07,-116.56,0
Morro Bay,35.37,-120.87,0
Moskowite Corner,38.45,-122.19,0
Moss Beach,37.52,-122.5,0
Moss Landing,36.8,-121.79,0
Mount Hebron,41.79,-122.01,0
Mount Hermon,37.05,-122.05,0
Mount Laguna,32.87,-116.42,0
Mount Shasta,41.32,-122.32,0
Mountain Center,33.71,-116.72,0
Mountain Gate,40.72,-122.33,0
Mountain House,37.77,-121.55,0
Mountain Mesa,35.64,-118.4,0
Mountain Ranch,38.25,-120.51,0
Mountain View Acres,34.5,-117.35,0
# Mountain View,38.01,-122.12,0
Mountain View,37.4,-122.08,2
Muir Beach,37.87,-122.59,0
Murphys,38.14,-120.43,0
Murrieta,33.57,-117.19,0
Muscoy,34.15,-117.35,0
Myers Flat,40.27,-123.87,0
Myrtletown,40.79,-124.13,0
Napa,38.3,-122.3,0
National City,32.67,-117.1,0
Needles,34.82,-114.62,0
Nevada City,39.26,-121.02,0
New Cuyama,34.94,-119.68,0
New Pine Creek,41.99,-120.3,0
Newark,37.52,-122.03,4
Newcastle,38.87,-121.13,0
Newell,41.89,-121.37,0
Newman,37.32,-121.02,0
Newport Beach,33.6,-117.89,0
Nicasio,38.06,-122.7,0
Nice,39.13,-122.85,0
Nicolaus,38.9,-121.57,0
Niland,33.24,-115.51,0
Nipinnawasee,37.4,-119.73,0
Nipomo,35.03,-120.5,0
Norco,33.93,-117.55,0
Nord,39.77,-121.95,0
Norris Canyon,37.75,-121.99,0
North Auburn,38.93,-121.08,0
North Edwards,35.05,-117.81,0
North El Monte,34.1,-118.02,0
North Fair Oaks,37.48,-122.2,0
North Gate,37.91,-122,0
North Highlands,38.67,-121.37,0
North Lakeport,39.09,-122.91,0
North Richmond,37.96,-122.37,0
North San Juan,39.37,-121.11,0
North Shore,33.52,-115.91,0
North Tustin,33.76,-117.79,0
Norwalk,33.91,-118.08,0
Novato,38.09,-122.56,0
Nubieber,41.1,-121.18,0
Nuevo,33.8,-117.14,0
Oak Glen,34.05,-116.95,0
Oak Hills,34.39,-117.41,0
Oak Park,34.18,-118.77,0
Oak Shores,35.76,-120.98,0
Oak View,34.4,-119.3,0
Oakdale,37.76,-120.85,0
Oakhurst,37.33,-119.65,0
Oakland,37.804,-122.27,2
Oakley,37.99,-121.7,0
Oakville,38.44,-122.41,0
Oasis,33.53,-116.13,0
Occidental,38.4,-122.93,0
Oceano,35.1,-120.61,0
Oceanside,33.22,-117.31,0
Ocotillo,32.74,-116,0
Oildale,35.42,-119.03,0
Ojai,34.45,-119.25,0
Olancha,36.27,-118,0
Old Fig Garden,36.8,-119.81,0
Old Station,40.67,-121.42,0
Olivehurst,39.08,-121.55,0
Ontario,34.04,-117.61,0
Onyx,35.68,-118.21,0
Orange,33.8,-117.82,0
Orange Cove,36.62,-119.32,0
Orangevale,38.69,-121.22,0
Orcutt,34.87,-120.43,0
Orick,41.29,-124.07,0
Orinda,37.88,-122.18,0
Orland,39.75,-122.19,0
Orosi,36.54,-119.29,0
Oroville,39.5,-121.57,0
Oroville East,39.49,-121.49,0
Oxnard,34.2,-119.21,0
Pacheco,37.99,-122.07,0
Pacific Grove,36.62,-121.93,0
Pacifica,37.61,-122.48,3
Pajaro,36.9,-121.74,0
Pajaro Dunes,36.87,-121.81,0
Palermo,39.43,-121.52,0
Palm Desert,33.74,-116.37,0
Palm Springs,33.8,-116.54,0
Palmdale,34.59,-118.11,0
Palo Alto,37.4,-122.14,2
Palo Cedro,40.55,-122.24,0
Palo Verde,33.43,-114.73,0
Palos Verdes Estates,33.79,-118.4,0
Panorama Heights,35.81,-118.63,0
Paradise,37.48,-118.6,0
Paradise Park,37.01,-122.04,0
Paradise town,39.76,-121.61,0
Paramount,33.9,-118.17,0
Parklawn,37.61,-120.98,0
Parksdale,36.95,-120.02,0
Parkway,38.5,-121.45,0
Parkwood,36.93,-120.05,0
Parlier,36.61,-119.54,0
Pasadena,34.16,-118.14,0
Pasatiempo,37,-122.03,0
Paskenta,39.88,-122.55,0
Patterson,37.47,-121.14,0
Patterson Tract,36.38,-119.3,0
Patton Village,40.14,-120.18,0
Paxton,40.03,-121,0
Paynes Creek,40.34,-121.92,0
Pearsonville,35.82,-117.88,0
Pedley,33.98,-117.47,0
Penn Valley,39.2,-121.19,0
Penngrove,38.3,-122.67,0
Penryn,38.85,-121.17,0
Perris,33.79,-117.22,0
Pescadero,37.25,-122.37,3
Petaluma,38.24,-122.63,0
Peters,37.98,-121.04,0
Phelan,34.44,-117.52,0
Phillipsville,40.21,-123.78,0
Philo,39.07,-123.45,0
Phoenix Lake,38.01,-120.31,0
Pi▒on Hills,34.44,-117.62,0
Pico Rivera,33.99,-118.09,0
Piedmont,37.82,-122.23,0
Pierpoint,36.14,-118.63,0
Pike,39.43,-121,0
Pine Canyon,36.18,-121.15,0
Pine Flat,35.87,-118.64,0
Pine Grove,38.41,-120.66,0
Pine Hills,40.73,-124.16,0
Pine Mountain Club,34.84,-119.17,0
Pine Mountain Lake,37.86,-120.18,0
Pine Valley,32.84,-116.51,0
Pinole,38.01,-122.32,0
Pioneer,38.44,-120.58,0
Piru,34.41,-118.8,0
Pismo Beach,35.14,-120.67,0
Pittsburg,38.02,-121.9,0
Pixley,35.98,-119.29,0
Placentia,33.88,-117.86,0
Placerville,38.73,-120.8,0
Plainview,36.14,-119.14,0
Planada,37.29,-120.32,0
Pleasant Hill,37.95,-122.08,0
Pleasanton,37.67,-121.88,0
Pleasure Point,36.96,-121.97,0
Plumas Eureka,39.8,-120.66,0
Plumas Lake,38.99,-121.56,0
Plymouth,38.48,-120.84,0
Point Arena,38.91,-123.7,0
Point Reyes Station,38.08,-122.81,0
Pollock Pines,38.76,-120.59,0
Pomona,34.06,-117.76,0
Ponderosa,36.11,-118.53,0
Poplar-Cotton Center,36.06,-119.15,0
Port Costa,38.04,-122.18,0
Port Hueneme,34.16,-119.2,0
Porterville,36.06,-119.03,0
Portola,39.82,-120.47,0
Portola Valley town,37.37,-122.22,0
Posey,35.8,-118.68,0
Poso Park,35.81,-118.64,0
Potrero,32.61,-116.61,0
Potter Valley,39.32,-123.11,0
Poway,32.99,-117.02,0
Prattville,40.21,-121.16,0
Princeton,39.4,-122.02,0
Proberta,40.08,-122.18,0
Prunedale,36.81,-121.66,0
Quartz Hill,34.65,-118.22,0
Quincy,39.93,-120.95,0
Rackerby,39.43,-121.35,0
Rail Road Flat,38.32,-120.49,0
Rainbow,33.41,-117.14,0
Raisin City,36.6,-119.91,0
Ramona,33.05,-116.88,0
Rancho Calaveras,38.12,-120.86,0
Rancho Cordova,38.57,-121.25,0
Rancho Cucamonga,34.12,-117.57,0
Rancho Mirage,33.76,-116.43,0
Rancho Murieta,38.51,-121.07,0
Rancho Palos Verdes,33.76,-118.36,0
Rancho San Diego,32.76,-116.92,0
Rancho Santa Fe,33.02,-117.2,0
Rancho Santa Margarita,33.63,-117.6,0
Rancho Tehama Reserve,40,-122.44,0
Randsburg,35.37,-117.66,0
Red Bluff,40.17,-122.24,0
Red Corral,38.41,-120.61,0
Redcrest,40.4,-123.95,0
Redding,40.57,-122.37,0
Redlands,34.05,-117.17,0
Redondo Beach,33.86,-118.38,0
Redway,40.12,-123.82,0
Redwood City,37.52,-122.21,2
Redwood Valley,39.27,-123.2,0
Reedley,36.6,-119.45,0
Reliez Valley,37.94,-122.1,0
Rialto,34.11,-117.39,0
Richfield,39.97,-122.17,0
Richgrove,35.8,-119.11,0
Richmond,37.95,-122.36,2
Richvale,39.49,-121.75,0
Ridgecrest,35.63,-117.66,0
Ridgemark,36.81,-121.36,0
Rio del Mar,36.96,-121.88,0
Rio Dell,40.5,-124.11,0
Rio Linda,38.69,-121.44,0
Rio Oso,38.95,-121.53,0
Rio Vista,38.18,-121.7,0
Ripley,33.52,-114.65,0
Ripon,37.74,-121.13,0
River Pines,38.55,-120.75,0
Riverbank,37.73,-120.94,0
Riverdale,36.43,-119.87,0
Riverdale Park,37.6,-121.04,0
Riverside,33.94,-117.39,0
Robbins,38.87,-121.71,0
Robinson Mill,39.49,-121.32,0
Rocklin,38.81,-121.25,0
Rodeo,38.04,-122.25,0
Rodriguez Camp,35.81,-119.14,0
Rohnert Park,38.35,-122.7,0
Rolling Hills,36.9,-119.8,0
Rolling Hills,33.76,-118.35,0
Rolling Hills Estates,33.78,-118.35,0
Rollingwood,37.97,-122.33,0
Romoland,33.76,-117.16,0
Rosamond,34.87,-118.22,0
Rose Hills,34.01,-118.04,0
Rosedale,35.39,-119.2,0
Roseland,38.42,-122.73,0
Rosemead,34.07,-118.08,0
Rosemont,38.55,-121.36,0
Roseville,38.77,-121.3,0
Ross town,37.96,-122.56,0
Rossmoor,33.79,-118.08,0
Rough and Ready,39.23,-121.14,0
Round Mountain,40.8,-121.94,0
Round Valley,37.41,-118.58,0
Rouse,37.62,-121.01,0
Rowland Heights,33.97,-117.89,0
Rubidoux,33.99,-117.42,0
Running Springs,34.21,-117.11,0
Ruth,40.29,-123.35,0
Rutherford,38.46,-122.42,0
Sacramento,38.57,-121.47,0
Salida,37.72,-121.09,0
Salinas,36.69,-121.63,0
Salmon Creek,38.35,-123.06,0
Salton City,33.3,-115.96,0
Salton Sea Beach,33.38,-116.01,0
Samoa,40.81,-124.19,0
San Andreas,38.19,-120.68,0
San Anselmo town,37.98,-122.57,0
San Antonio Heights,34.16,-117.66,0
San Ardo,36.02,-120.91,0
San Bernardino,34.14,-117.3,0
San Bruno,37.63,-122.43,3
San Buenaventura (Ventura),34.27,-119.25,0
San Carlos,37.5,-122.27,0
San Clemente,33.45,-117.61,0
San Diego,32.82,-117.13,0
San Diego Country Estates,33.01,-116.79,0
San Dimas,34.11,-117.81,0
San Fernando,34.29,-118.44,0
San Francisco,37.7749,-122.4194,1
San Gabriel,34.09,-118.1,0
San Geronimo,38.01,-122.66,0
San Jacinto,33.8,-116.99,0
San Joaquin,36.61,-120.19,0
San Jose,37.3,-121.85,1
San Juan Bautista,36.85,-121.54,0
San Juan Capistrano,33.5,-117.65,0
San Leandro,37.7,-122.16,3
San Lorenzo,37.67,-122.13,0
San Lucas,36.13,-121.02,0
San Luis Obispo,35.27,-120.67,0
San Marcos,33.13,-117.17,0
San Marino,34.12,-118.11,0
San Martin,37.08,-121.6,0
San Mateo,37.56,-122.31,2
San Miguel,37.89,-122.04,0
San Miguel,35.75,-120.69,0
San Pablo,37.96,-122.34,3
San Pasqual,34.14,-118.1,0
San Rafael,37.98,-122.51,2
San Ramon,37.76,-121.94,0
San Simeon,35.62,-121.14,0
Sand City,36.63,-121.86,0
Sanger,36.7,-119.56,0
Santa Ana,33.74,-117.88,0
Santa Barbara,34.4,-119.71,0
Santa Clara,37.36,-121.97,2
Santa Clarita,34.41,-118.5,0
Santa Cruz,36.97,-122.04,3
Santa Fe Springs,33.93,-118.06,0
Santa Margarita,35.39,-120.61,0
Santa Maria,34.93,-120.44,0
Santa Monica,34.02,-118.48,0
Santa Nella,37.1,-121.02,0
Santa Paula,34.35,-119.07,0
Santa Rosa,38.45,-122.71,0
Santa Rosa Valley,34.25,-118.9,0
Santa Susana,34.26,-118.67,0
Santa Venetia,38.01,-122.5,0
Santa Ynez,34.62,-120.09,0
Santee,32.86,-116.98,0
Saranap,37.89,-122.08,0
Saratoga,37.27,-122.03,3
Saticoy,34.28,-119.15,0
Sattley,39.63,-120.44,0
Sausalito,37.86,-122.49,0
Scotia,40.48,-124.1,0
Scotts Valley,37.06,-122.01,0
Sea Ranch,38.72,-123.45,0
Seacliff,36.98,-121.92,0
Seal Beach,33.75,-118.07,0
Searles Valley,35.77,-117.4,0
Seaside,36.62,-121.82,0
Sebastopol,38.4,-122.83,0
Seeley,32.79,-115.68,0
Selma,36.57,-119.62,0
Sequoia Crest,36.19,-118.63,0
Sereno del Mar,38.38,-123.07,0
Seville,36.49,-119.22,0
Shackelford,37.61,-120.99,0
Shafter,35.48,-119.2,0
Shandon,35.65,-120.38,0
Shasta,40.59,-122.48,0
Shasta Lake,40.68,-122.38,0
Shaver Lake,37.1,-119.32,0
Shell Ridge,37.91,-122.03,0
Shelter Cove,40.04,-124.06,0
Sheridan,38.97,-121.36,0
Shingle Springs,38.67,-120.94,0
Shingletown,40.5,-121.86,0
Shoshone,35.95,-116.31,0
Sierra Brooks,39.64,-120.22,0
Sierra City,39.57,-120.63,0
Sierra Madre,34.17,-118.05,0
Sierra Village,38.08,-120.16,0
Sierraville,39.58,-120.36,0
Signal Hill,33.8,-118.17,0
Silver City,36.46,-118.65,0
Silver Lakes,34.75,-117.34,0
Silverado Resort,38.35,-122.26,0
Simi Valley,34.27,-118.75,0
Sisquoc,34.86,-120.29,0
Sky Valley,33.89,-116.35,0
Sleepy Hollow,38.01,-122.59,0
Smartsville,39.21,-121.29,0
Smith Corner,35.48,-119.28,0
Smith River,41.92,-124.15,0
Snelling,37.52,-120.44,0
Soda Bay,39,-122.78,0
Soda Springs,39.32,-120.38,0
Solana Beach,32.99,-117.26,0
Soledad,36.44,-121.34,0
Solvang,34.59,-120.14,0
Sonoma,38.29,-122.46,0
Sonora,37.98,-120.38,0
Soquel,37,-121.95,0
Soulsbyville,37.99,-120.26,0
South Dos Palos,36.97,-120.65,0
South El Monte,34.05,-118.05,0
South Gate,33.94,-118.19,0
South Lake Tahoe,38.94,-119.98,0
South Monrovia Island,34.12,-118,0
South Oroville,39.48,-121.54,0
South Pasadena,34.11,-118.16,0
South San Francisco,37.6547,-122.4077,2
South San Gabriel,34.05,-118.1,0
South San Jose Hills,34.01,-117.9,0
South Taft,35.13,-119.46,0
South Whittier,33.93,-118.03,0
Spaulding,40.66,-120.79,0
Spreckels,36.62,-121.65,0
Spring Garden,39.9,-120.79,0
Spring Valley,32.73,-116.98,0
Spring Valley,39.08,-122.6,0
Spring Valley Lake,34.5,-117.27,0
Springville,36.12,-118.83,0
Squaw Valley,36.69,-119.2,0
Squirrel Mountain Valley,35.62,-118.41,0
St. Helena,38.5,-122.47,0
Stallion Springs,35.09,-118.65,0
Stanford,37.43,-122.17,0
Stanton,33.8,-117.99,0
Stevenson Ranch,34.39,-118.59,0
Stevinson,37.32,-120.85,0
Stinson Beach,37.91,-122.65,3
Stirling City,39.91,-121.54,0
Stockton,37.98,-121.31,0
Stonyford,39.37,-122.54,0
Storrie,39.92,-121.32,0
Stratford,36.19,-119.82,0
Strathmore,36.14,-119.06,0
Strawberry,37.89,-122.51,0
Strawberry,38.2,-120.01,0
Sugarloaf Mountain Park,35.84,-118.6,0
Sugarloaf Saw Mill,35.83,-118.62,0
Sugarloaf Village,35.83,-118.64,0
Suisun City,38.25,-122.01,0
Sultana,36.55,-119.34,0
Summerland,34.43,-119.59,0
Sun Village,34.56,-117.96,0
Sunny Slopes,37.57,-118.68,0
Sunnyside,36.73,-119.69,0
Sunnyside-Tahoe City,39.15,-120.16,0
Sunnyslope,34.02,-117.43,0
Sunnyvale,37.39,-122.03,0
Sunol,37.59,-121.89,0
Sunset Beach,33.72,-118.07,0
Susanville,40.42,-120.61,0
Sutter,39.16,-121.75,0
Sutter Creek,38.38,-120.81,0
Swall Meadows,37.51,-118.64,0
Taft,35.13,-119.42,0
Taft Heights,35.13,-119.47,0
Taft Mosswood,37.91,-121.28,0
Tahoe Vista,39.25,-120.05,0
Tahoma,39.06,-120.14,0
Talmage,39.13,-123.16,0
Tamalpais-Homestead Valley,37.88,-122.54,0
Tara Hills,37.99,-122.32,0
Tarpey Village,36.79,-119.7,0
Taylorsville,40.06,-120.84,0
Tecopa,35.84,-116.21,0
Tehachapi,35.13,-118.48,0
Tehama,40.02,-122.13,0
Temecula,33.5,-117.12,0
Temelec,38.26,-122.5,0
Temescal Valley,33.76,-117.47,0
Temple City,34.1,-118.06,0
Templeton,35.56,-120.72,0
Tennant,41.58,-121.91,0
Terminous,38.12,-121.49,0
Terra Bella,35.96,-119.03,0
Teviston,35.93,-119.28,0
Thermal,33.63,-116.13,0
Thermalito,39.49,-121.62,0
Thornton,38.23,-121.43,0
Thousand Oaks,34.19,-118.87,0
Thousand Palms,33.81,-116.35,0
Three Rivers,36.43,-118.88,0
Three Rocks,36.51,-120.39,0
Tiburon town,37.89,-122.45,0
Timber Cove,38.54,-123.26,0
Tipton,36.06,-119.31,0
Tobin,39.94,-121.3,0
Tomales,38.25,-122.91,0
Tonyville,36.25,-119.09,0
Tooleville,36.29,-119.12,0
Topanga,34.1,-118.61,0
Topaz,38.66,-119.53,0
Toro Canyon,34.42,-119.56,0
Torrance,33.83,-118.34,0
Tracy,37.72,-121.44,0
Tranquillity,36.65,-120.25,0
Traver,36.45,-119.48,0
Tres Pinos,36.79,-121.31,0
Trinidad,41.06,-124.14,0
Trinity Center,40.98,-122.71,0
Trinity Village,40.88,-123.51,0
Trona,35.81,-117.34,0
Trowbridge,38.93,-121.51,0
Truckee town,39.35,-120.18,0
Tulare,36.2,-119.34,0
Tulelake,41.95,-121.48,0
Tuolumne City,37.96,-120.24,0
Tupman,35.3,-119.36,0
Turlock,37.51,-120.86,0
Tustin,33.73,-117.81,0
Tuttle,37.3,-120.38,0
Tuttletown,38,-120.45,0
Twain,40.04,-121.04,0
Twain Harte,38.04,-120.23,0
Twentynine Palms,34.15,-116.07,0
Twin Lakes,36.96,-121.99,0
Ukiah,39.15,-123.21,0
Union City,37.6,-122.02,3
University of California Davis,38.54,-121.76,0
University of California Merced,37.37,-120.42,0
Upland,34.12,-117.66,0
Upper Lake,39.17,-122.91,0
Vacaville,38.36,-121.97,0
Val Verde,34.45,-118.67,0
Valinda,34.04,-117.93,0
Valle Vista,33.74,-116.89,0
Vallecito,38.07,-120.46,0
Vallejo,38.11,-122.26,0
Valley Acres,35.21,-119.41,0
Valley Center,33.23,-117.02,0
Valley Ford,38.32,-122.91,0
Valley Home,37.83,-120.92,0
Valley Ranch,39.74,-120.56,0
Valley Springs,38.18,-120.82,0
Valley Wells,35.88,-117.34,0
Vandenberg AFB,34.75,-120.52,0
Vandenberg Village,34.71,-120.46,0
Verdi,39.52,-120.02,0
Vernon,34,-118.21,0
Victor,38.14,-121.2,0
Victorville,34.53,-117.35,0
View Park-Windsor Hills,34,-118.35,0
Villa Park,33.82,-117.81,0
Vina,39.93,-122.05,0
Vincent,34.1,-117.92,0
Vine Hill,38.01,-122.09,0
Vineyard,38.47,-121.32,0
Visalia,36.33,-119.33,0
Vista,33.19,-117.24,0
Vista Santa Rosa,33.62,-116.21,0
Volcano,38.45,-120.63,0
Volta,37.09,-120.92,0
Walker,38.53,-119.46,0
Wallace,38.2,-120.96,0
Walnut,34.03,-117.86,0
Walnut Creek,37.9,-122.04,0
Walnut Grove,38.25,-121.53,0
Walnut Park,33.97,-118.22,0
Warm Springs,33.7,-117.33,0
Warner Valley,40.4,-121.32,0
Wasco,35.59,-119.37,0
Washington,39.36,-120.79,0
Waterford,37.64,-120.76,0
Waterloo,38.04,-121.18,0
Watsonville,36.92,-121.77,0
Waukena,36.14,-119.51,0
Wawona,37.55,-119.64,0
Weaverville,40.75,-122.93,0
Weed,41.41,-122.38,0
Weedpatch,35.24,-118.91,0
Weldon,35.64,-118.31,0
Weott,40.32,-123.92,0
West Athens,33.92,-118.3,0
West Bishop,37.36,-118.45,0
West Carson,33.82,-118.29,0
West Covina,34.06,-117.91,0
West Goshen,36.35,-119.45,0
West Hollywood,34.09,-118.37,0
West Menlo Park,37.43,-122.2,0
West Modesto,37.62,-121.04,0
West Park,36.71,-119.85,0
West Point,38.4,-120.54,0
West Puente Valley,34.05,-117.97,0
West Rancho Dominguez,33.89,-118.27,0
West Sacramento,38.56,-121.55,0
West Whittier-Los Nietos,33.98,-118.07,0
Westhaven-Moonstone,41.04,-124.1,0
Westlake Village,34.14,-118.82,0
Westley,37.55,-121.21,0
Westminster,33.75,-117.99,0
Westmont,33.94,-118.3,0
Westmorland,33.04,-115.62,0
Westwood,40.3,-121,0
Wheatland,39.01,-121.43,0
Whitehawk,39.72,-120.55,0
Whitewater,33.94,-116.69,0
Whitley Gardens,35.66,-120.51,0
Whittier,33.97,-118.02,0
Wildomar,33.62,-117.26,0
Wilkerson,37.28,-118.39,0
Williams,39.15,-122.14,0
Willits,39.4,-123.35,0
Willow Creek,40.94,-123.64,0
Willowbrook,33.92,-118.25,0
Willows,39.51,-122.2,0
Wilsonia,36.73,-118.96,0
Wilton,38.41,-121.21,0
Winchester,33.71,-117.08,0
Windsor town,38.54,-122.81,0
Winter Gardens,32.84,-116.93,0
Winterhaven,32.74,-114.64,0
Winters,38.53,-121.98,0
Winton,37.39,-120.62,0
Wofford Heights,35.71,-118.47,0
Woodacre,38.01,-122.64,0
Woodbridge,38.17,-121.31,0
Woodcrest,33.88,-117.37,0
Woodlake,36.41,-119.1,0
Woodland,38.67,-121.75,0
Woodlands,35.03,-120.55,0
Woodside town,37.42,-122.26,0
Woodville,36.09,-119.2,0
Wrightwood,34.35,-117.63,0
Yankee Hill,39.7,-121.51,0
Yettem,36.49,-119.25,0
Yolo,38.74,-121.81,0
Yorba Linda,33.89,-117.77,0
Yosemite Lakes,37.19,-119.77,0
Yosemite Valley,37.74,-119.58,0
Yountville,38.4,-122.37,0
Yreka,41.73,-122.63,0
Yuba City,39.14,-121.64,0
Yucaipa,34.03,-117.04,0
Yucca Valley town,34.12,-116.42,0
Zayante,37.09,-122.04,0